CarID,Direction,WaitingTime,CrossingTime,ArrivalTime
17667,left,0.0,1.0,0.0003610567529566122
17878,right,0.999816889843115,1.0000000000000002,0.0005441669098416035
8067,left,1.9997509962447897,1.0,0.0006100605081671429
11075,left,2.999567878936227,1.0,0.0007931778167302728
5009,left,3.9989323464142568,1.0,0.0014287103387000677
14668,right,4.998880737349703,1.0,0.0014803194032542155
17952,right,5.998848171241029,1.0,0.0015128855119272977
16424,right,6.9967300806713,1.0000000000000009,0.003630976081656634
4591,left,7.996691543793604,1.0,0.0036695129593533604
15443,left,8.99654629395277,1.0,0.0038147628001872214
5944,right,9.996250466210206,1.0,0.0041105905427518685
18330,right,10.995965688514728,1.0,0.004395368238229169
11575,left,11.995933699090026,1.0,0.004427357662931675
10483,left,12.995552483631732,1.0,0.004808573121225512
17700,right,13.994947267468564,1.0,0.005413789284393067
4924,right,14.994387514974171,1.0,0.005973541778786506
2362,right,15.994300638650827,1.0,0.006060418102129539
2292,right,16.994230675507726,1.0,0.006130381245231797
18512,right,17.99320221350787,1.0,0.007158843245087532
13267,left,18.99278116431974,1.0,0.007579892433217106
1863,left,19.992771868447626,1.0,0.007589188305331396
2455,left,20.992398377700294,1.0,0.007962679052664345
3017,left,21.992385261156453,1.0,0.007975795596505408
14142,right,22.99194929308382,1.0,0.008411763669138317
12147,left,23.991453999836285,1.0,0.008907056916672706
17294,right,24.99141594881054,1.0,0.008945107942415209
1488,right,25.989961459519957,1.0,0.010399597232999547
1364,right,26.989243035422742,1.0,0.011118021330215333
7383,left,27.98830249207882,1.0,0.012058564674138905
2523,left,28.988227072223133,1.0,0.01213398452982628
13830,right,29.987527394402033,1.0,0.0128336623509262
9202,right,30.987433951007546,1.0,0.012927105745412781
2987,left,31.987352734672942,1.0,0.0130083220800159
7886,right,32.987112202243964,1.0,0.013248854508994823
10209,left,33.98704980876499,1.0,0.013311247987967123
11517,left,34.986813750345334,1.0,0.013547306407621917
14685,left,35.98614382367067,1.0,0.014217233082283176
8424,right,36.985382861413186,1.0,0.014978195339773182
15751,left,37.984498026238946,1.0,0.015863030514010612
2495,left,38.984068675200504,1.0,0.01629238155245405
11331,left,39.98385366375178,1.0,0.016507393001174986
5353,left,40.98249638761941,1.0,0.017864669133541566
8804,right,41.982157630914344,1.0,0.01820342583861434
14096,right,42.98171811953283,1.0,0.018642937220131328
2324,right,43.98154494556342,1.0,0.018816111189533524
14811,left,44.98086887491631,1.0,0.019492181836646694
8543,left,45.98050199022053,1.0,0.019859066532424974
12295,left,46.97985363200776,1.0,0.020507424745200842
18214,right,47.9796197964131,1.0,0.020741260339860457
668,right,48.979507241507356,1.0,0.020853815245603924
9782,right,49.97939396306408,1.0,0.02096709368887062
18352,right,50.9793723368265,1.0,0.0209887199264569
14383,left,51.97923396711157,1.0,0.02112708964138843
5298,right,52.97923369382625,1.0,0.02112736292670503
9145,left,53.97889156677733,1.0,0.021469489975630696
15168,right,54.97834227504119,1.0,0.022018781711765634
7116,right,55.978164782356146,1.0,0.022196274396814042
12193,left,56.97771880860899,1.0,0.02264224814396476
11422,right,57.97727005268273,1.0,0.02309100407023368
8608,right,58.97721199744403,1.0,0.023149059308930076
596,right,59.97720237355973,1.0,0.023158683193232887
13559,left,60.977020851078365,1.0,0.023340205674591274
9303,left,61.97672366679467,1.0,0.0236373899582909
5338,right,62.97662620721869,0.9999999999999929,0.023734849534265967
5202,right,63.97647654399467,1.0,0.023884512758277632
15163,left,64.97635992137423,1.0,0.024001135378718397
12620,right,65.97633970409215,1.0,0.024021352660795747
6694,right,66.976298632269,1.0,0.02406242448394158
18974,right,67.97616008963337,1.0,0.024200967119583083
16945,left,68.97615448813964,1.0,0.02420656861331416
14174,right,69.9746832676501,1.0,0.025677789102852566
10196,right,70.97432450244418,1.0,0.02603655430877927
11403,left,71.974197653568,1.0,0.02616340318494559
8263,left,72.97401455519707,1.0,0.026346501555882806
6186,right,73.97374211914428,1.0,0.02661893760867895
5961,left,74.97267078329037,1.0,0.027690273462577242
3554,right,75.97195099461636,1.0,0.028410062136591252
7366,right,76.97190994325273,1.0,0.02845111350022078
19448,right,77.97186024834878,1.0,0.028500808404169353
12122,right,78.97145871824438,1.0,0.028902338508568493
2647,left,79.97143951086836,1.0,0.028921545884581512
1589,left,80.971046598452,1.0,0.029314458300941926
19424,right,81.96970091602475,1.0,0.030660140728202556
5112,right,82.96908338245755,1.0,0.0312776742954024
14637,left,83.96889830709605,1.0,0.03146274965689311
7021,left,84.96742342280626,1.0,0.03293763394669358
13373,left,85.96637177239218,1.0,0.03398928436076587
14304,right,86.96636905644368,1.0,0.03399200030926752
11332,right,87.96632909383615,1.0,0.034031962916794
8865,left,88.9657770789455,1.0,0.03458397780745859
4221,left,89.96566336153086,1.0,0.03469769522209232
8259,left,90.96525078927696,1.0,0.035110267475989554
13161,left,91.96463335007881,1.0,0.03572770667413683
9561,left,92.96456508601909,1.0,0.03579597073385399
147,left,93.96348909950599,1.0,0.03687195724696557
14266,right,94.96348527254725,1.0,0.036875784205708806
13208,right,95.96289419438293,1.0,0.03746686237002361
1486,right,96.96208696949734,1.0,0.03827408725562198
13068,right,97.96207621311714,1.0,0.03828484363580298
15747,left,98.96162598673264,1.0,0.03873507002031262
6689,left,99.9615186926257,1.0,0.03884236412725173
19959,left,100.96150407990905,1.0,0.0388569768439051
5356,right,101.9614376035684,1.0,0.038923453184552814
15965,left,102.96120225195506,1.0,0.03915880479788747
6586,right,103.96075835378736,1.0,0.039602702965592096
15186,right,104.96073306295752,1.0,0.03962799379543913
5050,right,105.96037182211079,1.0,0.03998923464216708
18794,right,106.96010817248877,1.0,0.04025288426417584
18601,left,107.95979583232544,1.0,0.040565224427516755
1237,left,108.95912819537182,1.0,0.041232861381136354
11001,left,109.95908530075192,1.0,0.04127575600102573
18152,right,110.95869591269567,1.0,0.041665144057272396
1732,right,111.95840141311015,1.0,0.04195964364279159
11989,left,112.95830814177324,1.0,0.042052914979704425
16996,right,113.95819145473823,1.0,0.04216960201472442
15595,left,114.95749033038291,1.0,0.04287072637003342
17499,left,115.95667523749147,1.0,0.04368581926148085
850,right,116.95663466841023,1.0,0.04372638834271969
9559,left,117.95526688839885,1.0,0.0450941683540973
2430,right,118.95374296119061,1.0,0.046618095562330764
5657,left,119.95353742586549,1.0,0.04682363088746033
7098,right,120.95341476308695,1.0,0.04694629366599812
2955,left,121.95335314127601,1.0,0.04700791547694427
9160,right,122.95325380720409,1.0,0.04710724954886336
7054,right,123.95299034924007,1.0,0.04737070751288264
5310,right,124.95269825357448,1.0,0.04766280317847427
10643,left,125.95227987421517,1.0,0.04808118253779137
4804,right,126.95083349459146,1.0,0.04952756216149101
4521,left,127.94971568445958,1.0,0.05064537229337862
17583,left,128.94951076235424,1.0,0.05085029439871325
748,right,129.9494816082309,1.0,0.05087944852203763
11828,right,130.94925212889075,1.0,0.05110892786221344
12765,left,131.94904811275916,1.0,0.05131294399378761
19126,right,132.9482676818506,1.0,0.05209337490234556
19960,right,133.94794024014996,1.0,0.05242081660298603
14106,right,134.94764936888708,1.0,0.05271168786586733
18590,right,135.94717492886846,1.0,0.05318612788447474
16726,right,136.94700691138294,1.0,0.05335414537002037
17085,left,137.94696823141592,1.0,0.053392825337036376
16970,right,138.9459314497503,1.0,0.054429607002637326
2153,left,139.94544189388537,1.0,0.05491916286756604
7894,right,140.94516876921685,1.0,0.05519228753610994
10522,right,141.94480549254806,1.0,0.05555556420488883
1716,right,142.94469171621253,1.0,0.05566934054042072
2291,left,143.94380509609,1.0,0.05655596066296842
626,right,144.94221886096463,1.0,0.05814219578832436
5316,right,145.9420596319525,1.0,0.05830142480044542
16783,left,146.94142373150896,1.0,0.05893732524399842
6007,left,147.9412510647851,1.0,0.059109991967853937
18454,right,148.94100302652035,1.0,0.05935803023259245
2752,right,149.94083168128947,1.0,0.05952937546349624
15030,right,150.9400164327452,1.0,0.06034462400773655
17945,left,151.9397050065989,1.0,0.060656050154045404
15055,left,152.93827920390538,1.0,0.06208185284758194
711,left,153.9378601555392,1.0,0.06250090121376006
4257,left,154.9371245880429,1.0,0.06323646871005173
12346,right,155.93599080230996,1.0,0.06437025444297806
16060,right,156.93587577451495,1.0,0.06448528223800376
13532,right,157.9347079833316,1.0,0.06565307342134008
11293,left,158.93455418802657,1.0,0.06580686872638464
1151,left,159.93268274449747,1.0,0.06767831225547027
15046,right,160.93246358069175,1.0,0.0678974760612161
917,left,161.9324588395519,1.0,0.06790221720103351
2709,left,162.93216131317084,1.0,0.06819974358211578
10056,right,163.9317788909827,1.0,0.06858216577024456
786,right,164.93105309534442,1.0,0.06930796140853124
4887,left,165.9309883378012,1.0,0.06937271895173236
12854,right,166.93088917781878,1.0,0.06947187893417861
10545,left,167.92921758960497,1.0,0.07114346714796382
17615,left,168.92907947203233,1.0,0.07128158472060941
13612,right,169.92857315330062,1.0,0.07178790345234387
15241,left,170.92506245085414,1.0,0.07529860589880699
6427,left,171.92423682797988,1.0,0.07612422877308234
7474,right,172.92355620228847,1.0,0.07680485446447172
12531,left,173.92347063498573,1.0,0.07689042176722838
19847,left,174.9229955386784,1.0,0.07736551807453251
12771,left,175.922988074863,1.0,0.07737298188992825
12384,right,176.92206498036458,1.0,0.07829607638837888
930,right,177.9214161446129,1.0,0.07894491214007315
8258,right,178.92128806848228,1.0,0.07907298827066755
3495,left,179.9211999763593,1.0,0.07916108039365266
17206,right,180.92054505105042,1.0,0.07981600570253544
7299,left,181.91974948002294,1.0,0.08061157673000086
14551,left,182.91949653751956,1.0,0.08086451923338123
1526,right,183.91932471966024,1.0,0.08103633709270142
6508,right,184.9183333345205,1.0,0.08202772223246058
17365,left,185.9179830678277,1.0,0.08237798892526627
18328,right,186.91718599039282,1.0,0.0831750663601194
19290,right,187.91648362777033,1.0,0.08387742898262718
3025,left,188.91562954025895,1.0,0.08473151649401656
18138,right,189.91518885781272,1.0,0.08517219894022321
7552,right,190.9143927238102,1.0,0.08596833294272965
2643,left,191.9143682943972,1.0,0.08599276235574993
18075,left,192.9137910657936,1.0,0.08656999095935869
4625,left,193.9134446663566,1.0,0.08691639039633992
19937,left,194.91261686936664,1.0,0.0877441873863094
8291,left,195.91206995059804,1.0,0.08829110615492075
10202,right,196.91085987893024,1.0,0.08950117782271727
19621,left,197.9105322665608,1.0,0.08982879019213685
8411,left,198.9101865207313,1.0,0.09017453602165881
2650,right,199.9101732089712,1.0,0.09018784778174083
9609,left,200.9100935765494,1.0,0.09026748020353859
7592,right,201.90996436360084,1.0,0.09039669315210275
10020,right,202.90880241553353,1.0,0.0915586412194136
11970,right,203.90868417480672,1.0,0.09167688194621881
7269,left,204.90690691360527,1.0,0.09345414314766765
9900,right,205.905993063205,1.0,0.0943679935479591
11634,right,206.90572313852775,1.0,0.09463791822521328
10318,right,207.90546943267842,1.0,0.0948916240745401
4882,right,208.9050347592115,1.0,0.09532629754143485
2052,right,209.905030858395,1.0,0.09533019835795575
18086,right,210.9048947799159,1.0,0.09546627683705511
19575,left,211.90488179066602,1.0,0.09547926608692303
1522,right,212.90480384279047,1.0,0.09555721396248273
19944,right,213.90336019937618,1.0,0.09700085737677999
4679,left,214.90255752468164,1.0,0.09780353207132331
4340,right,215.90227157963648,1.0,0.0980894771164631
9776,right,216.9014987619914,1.0,0.09886229476153807
7856,right,217.90144218318986,1.0,0.09891887356308526
3481,left,218.90053495259727,1.0,0.09982610415568582
2699,left,219.9005038771514,1.0,0.09985717960154572
7155,left,220.9002040890971,1.0,0.10015696765585114
10243,left,221.90018525102872,1.0,0.1001758057242319
15860,right,222.89992620659046,1.0,0.10043485016247522
12818,right,223.8998969371008,1.0,0.10046411965215829
12032,right,224.89948150651105,1.0,0.10087955024188688
16056,right,225.89907244393592,1.0,0.10128861281702539
8774,right,226.8980389516922,1.0,0.10232210506073702
13716,right,227.89799425393258,1.0,0.10236680282037947
5012,right,228.89656385119272,1.0,0.10379720556023209
13421,left,229.89621598131413,1.0,0.1041450754388129
10498,right,230.89528891366695,1.0,0.105072143085998
6914,right,231.89451021544065,1.0,0.10585084131231715
18916,right,232.89436858836666,1.0,0.10599246838629783
13703,left,233.89393602043535,1.0,0.10642503631759337
18259,left,234.8936563506166,1.0,0.10670470613634242
9203,left,235.89363235449434,1.0,0.10672870225860165
16768,right,236.89281726221546,1.0,0.10754379453748797
13137,left,237.89135680566758,1.0,0.10900425108537948
18297,left,238.89122052596494,1.0,0.10914053078802222
6964,right,239.89098184778683,1.0,0.1093792089661294
11138,right,240.8905189853404,1.0,0.10984207141253477
2769,left,241.8903743942934,1.0,0.10998666245956912
16018,right,242.8895666372546,1.0,0.1107944194983368
13041,left,243.88879258119883,1.0,0.11156847555410909
17888,right,244.88856154067827,1.0,0.11179951607468874
18662,right,245.88801402083823,1.0,0.11234703591471162
14733,left,246.88761492851765,1.0,0.11274612823530927
13624,right,247.8875370465963,1.0,0.11282401015664911
10149,left,248.88656049242007,1.0,0.11380056433289099
4162,right,249.8863876356746,1.0,0.11397342107834718
17158,right,250.88632007184341,1.0,0.11404098490952363
7265,left,251.8852375531061,1.0,0.11512350364684676
12990,right,252.88510139157358,1.0,0.11525966517937136
269,left,253.88505854227282,1.0,0.11530251448012896
11003,left,254.88483169220527,0.9999999999999716,0.11552936454768736
18521,left,255.88428390207454,1.0,0.1160771546783701
13234,right,256.8837540364556,1.0,0.1166070202972791
8483,left,257.88366646665406,1.0,0.1166945900988714
1076,right,258.8835622511613,1.0,0.11679880559160027
5541,left,259.8833942755904,1.0,0.11696678116253412
4534,right,260.8825305972279,1.0,0.1178304595250168
12903,left,261.8821012390322,1.0,0.11825981772076499
