CarID,Direction,WaitingTime,CrossingTime,ArrivalTime
8316,right,0.0,1.0,0.0018641658630802471
2115,left,0.9981860783153054,0.9999999999999998,0.0036780875477748776
2909,left,1.9973113328843086,1.0,0.004552832978771404
1669,left,2.995872863046745,1.0,0.005991302816334976
6780,right,3.9957843598884484,1.0,0.006079805974631425
1335,left,4.995247251621426,1.0,0.006616914241653893
5954,right,5.9946543619422314,1.0,0.007209803920849023
6673,left,6.994574587869231,0.9999999999999991,0.007289577993849772
7423,left,7.993021436931957,1.0,0.008842728931122146
3701,left,8.98946783568013,1.0,0.012396330182948834
1943,left,9.989210835177852,1.0,0.012653330685227226
2352,right,10.9870245059656,1.0,0.014839659897478708
5651,left,11.986523046715378,1.0,0.015341119147701532
3371,left,12.984952607891275,1.0,0.01691155797180488
9266,right,13.983612737700739,1.0,0.018251428162341377
7794,right,14.979712543492894,1.0,0.022151622370185642
5456,right,15.979140094456392,1.0,0.022724071406686752
4268,right,16.97885510947559,1.0,0.023009056387490734
9579,left,17.978775662901572,1.0,0.023088502961507995
6056,right,18.97737468057577,1.0,0.024489485287306767
6352,right,19.976668786037845,1.0,0.025195379825233566
3145,left,20.9764701104615,1.0,0.025394055401579685
6662,right,21.975298214390065,1.0,0.026565951473012106
6181,left,22.975071116983628,1.0,0.026793048879449888
9714,right,23.974936455650425,1.0,0.026927710212653055
3106,right,24.974137216641356,1.0,0.027726949221722474
7170,right,25.973728800361915,1.0,0.028135365501162912
9747,left,26.972924181526107,1.0,0.02893998433697309
642,right,27.972250817033082,1.0,0.029613348829998776
3059,left,28.971511781827093,1.0,0.0303523840359865
3517,left,29.967374353971522,1.0,0.03448981189155598
7773,left,30.962571226392722,1.0000000000000036,0.039292939470357835
1074,right,31.962286678709308,1.0,0.039577487153773516
7208,right,32.96175947219187,1.0,0.04010469367120795
6012,right,33.96123806590927,1.0,0.04062609995381217
6651,left,34.96064727619224,1.0,0.04121688967084314
1273,left,35.95960332779783,1.0,0.0422608380652556
9419,left,36.9586561350434,1.0,0.04320803081968583
2000,right,37.95851293487456,1.0,0.043351230988517564
4305,left,38.95775361757433,1.0,0.044110548288751605
835,left,39.957501006765746,1.0,0.04436315909733923
6313,left,40.95688979189185,1.0,0.04497437397123605
5159,left,41.95575012101433,1.0,0.04611404484874959
4470,right,42.95493585903658,1.0,0.04692830682650362
9039,left,43.953122257962434,1.0,0.04874190790064903
8289,left,44.951513084846816,1.0,0.05035108101626662
9717,left,45.95045886523187,1.0,0.05140530063120652
2758,right,46.950436560995776,1.0,0.05142760486730347
6879,left,47.95038750354162,1.0,0.05147666232146464
6825,left,48.9503618610044,1.0,0.05150230485868268
728,right,49.948102501801145,1.0,0.05376166406193428
6869,left,50.94775290572706,1.0,0.054111260136028294
6731,left,51.94688445354085,1.0,0.054979712322236196
8103,left,52.94681423402467,1.0,0.055049931838414556
4205,left,53.94405927096655,1.0,0.05780489489653595
7009,left,54.942660296319076,1.0,0.05920386954400336
1315,left,55.94236521069322,1.0,0.059498955169862144
256,right,56.94204938714946,1.0,0.0598147787136194
5352,right,57.94201327298685,1.0,0.05985089287623202
3402,right,58.941189444108154,1.0,0.06067472175492861
4687,left,59.94073417650564,1.0,0.061129989357440184
817,left,60.94025661481963,1.0,0.06160755104344773
3025,left,61.93919503072168,1.0,0.06266913514140438
1027,left,62.935184558831715,1.0,0.0666796070313691
8183,left,63.93461702273077,1.0,0.06724714313231517
4185,left,64.93175563175534,1.0,0.07010853410774343
6323,left,65.93034291186225,1.0,0.0715212540008281
9861,left,66.92986253713258,1.0,0.07200162873050364
8322,right,67.92920347581403,1.0,0.07266069004904341
9100,right,68.92889653755972,1.0,0.07296762830336423
5015,left,69.92702812181449,1.0,0.07483604404860067
6258,right,70.92700554101066,1.0,0.07485862485243189
917,left,71.92673727098591,1.0,0.0751268948771755
4244,right,72.92643359096166,1.0,0.07543057490142058
1800,right,73.9261861049397,1.0,0.07567806092337537
4357,left,74.92584122483767,1.0,0.0760229410254154
7276,right,75.92511566407721,1.0,0.07674850178587045
3558,right,76.92440928161793,1.0,0.07745488424515501
3589,left,77.92431619506233,1.0,0.07754797080075648
